country,primary,secondary,points,price,province,title,year,variety,winery,pair
US,Fruity,Citrus,91,20,California,Calstar Cellars 2014 Sauvignon Blanc (Russian River Valley),2014,Sauvignon Blanc,Calstar Cellars,"Shellfish, Vegetarian, Goat cheese"
Argentina,Woody,Oak,82,12,Mendoza Province,Casarena 2014 505 Chardonnay (Mendoza),2014,Chardonnay,Casarena,"Pork, Rich Fish (Salmon & Tuna), Vegetarian, Poultry"
New Zealand,Herbal,Fresh (H),88,15,Marlborough,Twin Islands 2013 Sauvignon Blanc (Marlborough),2013,Sauvignon Blanc,Twin Islands,"Shellfish, Vegetarian, Goat Cheese"
Australia,Fruity,Citrus,87,19,South Australia,Penfolds 2002 Reserve Bin Riesling (Eden Valley),2002,Riesling,Penfolds,"Pork, Shellfish, Poultry, Appetizers & Snacks, Cured Meat"
US,Fruity,Tree Fruit,86,22,California,Roth 2010 Merlot (Alexander Valley),2010,Merlot,Roth,"Beef, Lamb, Veal"
Portugal,Biological,Lactic,87,10,Tejo,Quinta da Alorna 2011 Portal da Aguia White (Tejo),2011,Portuguese White,Quinta da Alorna,"Pasta, Pork, Shellfish, Lean Fish"
US,Fruity,Tree Fruit,89,12,Oregon,Firesteed 2009 Pinot Gris (Oregon),2009,Pinot Gris,Firesteed,"Pork, Spicy Food, Mushrooms, Cured Meat"
US,Woody,Oak,82,18,California,Peltier 2010 Peltier Station Zinfandel (Lodi),2010,Zinfandel,Peltier,"Beef, Lamb, Poultry"
US,Fruity,Citrus,87,12,California,Line 39 2014 Pinot Grigio (California),2014,Pinot Grigio,Line 39,"Pork, Spicy Food, Mushrooms, Cured Meat"
Argentina,Biological,Lactic,85,18,Mendoza Province,Chakana 2014 Estate Selection Chardonnay (Mendoza),2014,Chardonnay,Chakana,"Pork, Rich Fish (Salmon & Tuna), Vegetarian, Poultry"
France,Fruity,Tropical,93,70,Burgundy,La Chablisienne 2009 Les Preuses Grand Cru (Chablis),2009,Chardonnay,La Chablisienne,"Pork, Rich Fish (Salmon & Tuna), Shellfish, Mild & Soft Cheese"
US,Fruity,Berry,87,30,California,Cline 2012 Live Oak Vineyards Zinfandel (Contra Costa County),2012,Zinfandel,Cline,"Pasta, Rich fish (Salmon & Tuna), Shellfish, Mild & Soft Cheese"
France,Fruity,Tree Fruit,86,25,Burgundy,Simonnet-Febvre 2011 Bourgogne Vazelay,2011,Chardonnay,Simonnet-Febvre,"Pasta, Rich Fish (Salmon & Tuna), Shellfish, Mild & Soft cheese"
Spain,Herbal,Cooked,89,35,Northern Spain,Puelles 2004 Reserva (Rioja),2004,Tempranillo,Puelles,"Beef, Lamb, Veal, Poultry"
US,Herbal,Fresh (H),96,50,California,Babcock 2009 Microcosm Pinot Noir (Sta. Rita Hills),2009,Pinot Noir,Babcock,"Beef, Veal, Game (Deer & Venison), Poultry"
Italy,Fruity,Berry,95,90,Piedmont,Damilano 2011 Cannubi (Barolo),2011,Nebbiolo,Damilano,"Beef, Pasta, Lamb, Game (Deer & Venison)"
US,Herbal,Dried,85,36,California,Collier Falls 2011 Hillside Estate Primitivo (Dry Creek Valley),2011,Primitivo,Collier Falls,"Beef, Lamb, Poultry"
Argentina,Woody,Oak,91,150,Mendoza Province,Bodega Catena Zapata 2008 Adrianna Vineyard Malbec (Mendoza),2008,Malbec,Bodega Catena Zapata,"Beef, Lamb, Poultry"
